Chromosome	Gene name	TSS
1	FAM41C	870201
1	FAM41C	876802
1	TUBB8P11	873292
1	AL669831.5	877234
1	AL645608.6	904834
1	AL645608.2	911435
1	AL645608.4	914171
1	LINC02593	921016
1	LINC02593	919692
1	LINC02593	918534
1	SAMD11	923923
1	SAMD11	925150
1	SAMD11	925731
1	SAMD11	925942
1	SAMD11	930312
1	SAMD11	939275
1	SAMD11	940346
1	SAMD11	941076
1	SAMD11	942103
1	SAMD11	942166
1	NOC2L	959256
1	NOC2L	947060
1	NOC2L	958458
1	NOC2L	945562
1	NOC2L	959309
1	KLHL17	960584
1	KLHL17	960639
1	KLHL17	961449
1	KLHL17	962727
1	KLHL17	963552
1	PLEKHN1	966482
1	PLEKHN1	966502
1	PLEKHN1	970875
1	PLEKHN1	973512
1	PERM1	982093
1	PERM1	976641
1	PERM1	981029
1	AL645608.7	998051
1	HES4	1000172
1	HES4	1000097
1	HES4	1000096
1	HES4	999981
1	ISG15	1001138
1	ISG15	1001145
1	ISG15	1013497
1	AL645608.3	1008229
1	AL645608.1	1013193
1	AGRN	1020120
1	AGRN	1020123
1	AGRN	1034106
1	AGRN	1034867
1	AGRN	1045399
1	AGRN	1047201
1	AGRN	1047475
1	AGRN	1048529
1	AGRN	1051986
1	AL645608.5	1055033
1	AL390719.1	1059708
1	AL390719.1	1059734
1	AL390719.1	1063079
1	AL390719.1	1064495
1	AL390719.1	1064518
1	AL645608.8	1063288
1	RNF223	1074306
1	C1orf159	1116081
1	C1orf159	1092077
1	C1orf159	1116089
1	C1orf159	1116095
1	C1orf159	1087636
1	C1orf159	1084072
1	C1orf159	1092174
1	C1orf159	1106127
1	C1orf159	1116243
1	C1orf159	1116356
1	C1orf159	1092294
1	C1orf159	1116361
1	C1orf159	1092813
1	C1orf159	1116087
1	AL390719.3	1097585
1	LINC01342	1137017
1	MIR200B	1167104
1	MIR200A	1167863
1	MIR429	1169005
1	AL390719.2	1169357
1	TTLL10-AS1	1179555
1	TTLL10	1173880
1	TTLL10	1173884
1	TTLL10	1173898
1	TTLL10	1179697
1	TTLL10	1180484
1	TTLL10	1180537
1	TTLL10	1185036
1	TNFRSF18	1206571
1	TNFRSF18	1206592
1	TNFRSF18	1205680
1	TNFRSF4	1214153
1	TNFRSF4	1214138
1	TNFRSF4	1213498
1	SDF4	1232001
1	SDF4	1232031
1	SDF4	1221351
1	SDF4	1220293
1	SDF4	1228596
1	SDF4	1231968
1	SDF4	1232067
1	B3GALT6	1232237
1	C1QTNF12	1243463
1	C1QTNF12	1243158
1	C1QTNF12	1246722
1	C1QTNF12	1244418
1	C1QTNF12	1244724
1	AL162741.1	1251334
1	UBE2J2	1273853
1	UBE2J2	1273854
1	UBE2J2	1273855
1	UBE2J2	1273864
1	UBE2J2	1273726
1	UBE2J2	1273833
1	UBE2J2	1256335
1	UBE2J2	1273849
1	UBE2J2	1273844
1	UBE2J2	1273827
1	UBE2J2	1273790
1	UBE2J2	1273815
1	UBE2J2	1263569
1	UBE2J2	1273837
1	UBE2J2	1273471
1	LINC01786	1275223
1	LINC01786	1275237
1	SCNN1D	1280436
1	SCNN1D	1280472
1	SCNN1D	1280588
1	SCNN1D	1281925
1	SCNN1D	1282109
1	SCNN1D	1282164
1	SCNN1D	1287109
1	SCNN1D	1281224
1	ACAP3	1307930
1	ACAP3	1305929
1	ACAP3	1298955
1	ACAP3	1295008
1	ACAP3	1298265
1	ACAP3	1299617
1	ACAP3	1298241
1	ACAP3	1309609
1	ACAP3	1307821
1	ACAP3	1304901
1	ACAP3	1307830
1	ACAP3	1307818
1	ACAP3	1303260
1	MIR6726	1296170
1	PUSL1	1308597
1	PUSL1	1308611
1	PUSL1	1308788
1	PUSL1	1308821
1	PUSL1	1309235
1	INTS11	1315433
1	INTS11	1324660
1	INTS11	1312700
1	INTS11	1324621
1	INTS11	1324673
1	INTS11	1317450
1	INTS11	1315170
1	INTS11	1324637
1	INTS11	1324650
1	INTS11	1324653
1	INTS11	1324628
1	INTS11	1324670
1	INTS11	1324666
1	INTS11	1313825
1	INTS11	1313780
1	INTS11	1313765
1	INTS11	1324648
1	INTS11	1313750
1	INTS11	1319346
1	INTS11	1315608
1	INTS11	1314664
1	INTS11	1315601
1	INTS11	1324630
1	INTS11	1315141
1	INTS11	1315697
1	INTS11	1324629
1	INTS11	1324658
1	INTS11	1324625
1	INTS11	1324671
1	INTS11	1324659
1	INTS11	1320905
1	INTS11	1324687
1	INTS11	1324611
1	INTS11	1324642
1	INTS11	1324649
1	INTS11	1324603
1	INTS11	1324613
1	MIR6727	1312566
1	AL139287.1	1318689
1	CPTP	1324756
1	CPTP	1324802
1	CPTP	1325241
1	TAS1R3	1331280
1	DVL1	1349112
1	DVL1	1349418
1	DVL1	1339422
1	DVL1	1340052
1	DVL1	1340190
1	DVL1	1340365
1	DVL1	1348955
1	DVL1	1349135
1	MIR6808	1339708
1	MXRA8	1354264
1	MXRA8	1358555
1	MXRA8	1358543
1	MXRA8	1361777
1	MXRA8	1354474
1	MXRA8	1354247
1	MXRA8	1355016
1	MXRA8	1355512
1	MXRA8	1358794
1	AURKAIP1	1375157
1	AURKAIP1	1375495
1	AURKAIP1	1375169
1	AURKAIP1	1375173
1	AURKAIP1	1375144
1	AURKAIP1	1375159
1	NDUFB4P8	1378666
1	CCNL2	1391096
1	CCNL2	1399335
1	CCNL2	1398304
1	CCNL2	1388713
1	CCNL2	1399309
1	CCNL2	1391754
1	CCNL2	1390943
1	CCNL2	1399311
1	CCNL2	1392525
1	CCNL2	1391649
1	CCNL2	1399328
1	CCNL2	1390900
1	CCNL2	1392716
1	CCNL2	1391004
1	CCNL2	1398366
1	CCNL2	1399317
1	CCNL2	1398287
1	CCNL2	1399325
1	CCNL2	1398956
1	MRPL20-AS1	1399520
1	MRPL20-AS1	1399527
1	MRPL20-AS1	1399530
1	MRPL20-AS1	1399552
1	MRPL20-AS1	1399562
1	MRPL20-AS1	1399572
1	MRPL20-AS1	1399806
1	MRPL20-AS1	1400419
1	MRPL20	1407293
1	MRPL20	1406307
1	MRPL20	1407268
1	MRPL20	1406998
1	MRPL20	1407290
1	MRPL20	1407235
1	RN7SL657P	1405752
1	MRPL20-DT	1409096
1	ANKRD65	1421444
1	ANKRD65	1421769
1	ANKRD65	1421276
1	ANKRD65	1421091
1	ANKRD65	1421260
1	AL391244.1	1420245
1	TMEM88B	1426128
1	LINC01770	1434573
1	LINC01770	1431843
1	LINC01770	1434488
1	LINC01770	1434520
1	VWA1	1434861
1	VWA1	1435523
1	VWA1	1435690
1	VWA1	1435735
1	ATAD3C	1449689
1	ATAD3C	1449914
1	ATAD3C	1462483
1	ATAD3B	1471765
1	ATAD3B	1478026
1	ATAD3B	1479049
1	ATAD3B	1483485
1	ATAD3B	1484569
1	ATAD3B	1471784
1	AL645728.2	1503250
1	AL645728.2	1503582
1	ATAD3A	1512162
1	ATAD3A	1512165
1	ATAD3A	1512175
1	ATAD3A	1512385
1	ATAD3A	1512530
1	ATAD3A	1517070
1	ATAD3A	1517621
1	ATAD3A	1523955
1	TMEM240	1540624
1	TMEM240	1540350
1	TMEM240	1540453
1	SSU72	1574863
1	SSU72	1546487
1	SSU72	1574587
1	SSU72	1574584
1	AL645728.1	1574102
1	AL645728.1	1574975
1	AL691432.3	1583909
1	FNDC10	1600135
1	AL691432.4	1600314
1	AL691432.2	1615795
1	MIB2	1615415
1	MIB2	1615421
1	MIB2	1615437
1	MIB2	1615443
1	MIB2	1615454
1	MIB2	1615496
1	MIB2	1615514
1	MIB2	1615516
1	MIB2	1615530
1	MIB2	1615879
1	MIB2	1615887
1	MIB2	1615905
1	MIB2	1615914
1	MIB2	1615968
1	MIB2	1616274
1	MIB2	1616310
1	MIB2	1616311
1	MIB2	1617408
1	MIB2	1617560
1	MIB2	1617577
1	MIB2	1623122
1	MIB2	1623581
1	MIB2	1623802
1	MIB2	1624744
1	MIB2	1625087
1	MIB2	1625567
1	MIB2	1626860
1	MIB2	1627460
1	MIB2	1627522
1	MIB2	1628489
1	MIB2	1629106
1	MIB2	1629473
1	MMP23B	1632163
1	MMP23B	1632173
1	MMP23B	1632178
1	MMP23B	1632179
1	MMP23B	1632783
1	MMP23B	1633203
1	MMP23B	1633679
1	MMP23B	1634002
1	MMP23B	1634240
1	CDK11B	1659004
1	CDK11B	1659012
1	CDK11B	1658972
1	FO704657.1	1659325
1	SLC35E2B	1692724
1	SLC35E2B	1692795
1	SLC35E2B	1692728
1	SLC35E2B	1670139
1	SLC35E2B	1692709
1	AL691432.1	1671990
1	AL691432.1	1673275
1	MMP23A	1699942
1	CDK11A	1724357
1	CDK11A	1722831
1	CDK11A	1704253
1	CDK11A	1721655
1	CDK11A	1722832
1	CDK11A	1724324
1	CDK11A	1704116
1	CDK11A	1704555
1	CDK11A	1704602
1	CDK11A	1704585
1	CDK11A	1707561
1	CDK11A	1704760
1	CDK11A	1705024
1	CDK11A	1708876
1	CDK11A	1708231
1	CDK11A	1724032
1	CDK11A	1721879
1	CDK11A	1724019
1	CDK11A	1724274
1	AL031282.2	1737688
1	AL031282.1	1724512
1	AL031282.1	1724615
1	AL031282.1	1732554
1	AL031282.1	1735817
1	SLC35E2A	1745919
1	SLC35E2A	1735620
1	SLC35E2A	1745992
1	SLC35E2A	1739557
1	NADK	1778470
1	NADK	1778790
1	NADK	1780069
1	NADK	1758575
1	NADK	1754383
1	NADK	1757268
1	NADK	1756327
1	NADK	1754866
1	NADK	1757024
1	NADK	1756608
1	NADK	1754896
1	NADK	1757228
1	NADK	1779962
1	NADK	1778419
1	NADK	1778420
1	NADK	1780457
1	GNB1	1891117
1	GNB1	1891087
1	GNB1	1794197
1	GNB1	1818386
1	GNB1	1890836
1	GNB1	1890401
1	GNB1	1832285
1	GNB1	1825554
1	GNB1	1890966
1	AL109917.1	1891471
1	CALML6	1915108
1	CALML6	1915260
1	CALML6	1915266
1	CALML6	1915409
1	TMEM52	1918797
1	TMEM52	1919279
1	TMEM52	1919258
1	TMEM52	1919270
1	TMEM52	1919269
1	CFAP74	1959974
1	CFAP74	2003837
1	CFAP74	1927929
1	CFAP74	1927403
1	CFAP74	1960106
1	CFAP74	2003714
1	CFAP74	1960108
1	CFAP74	1990929
1	AL391845.2	2015530
1	AL391845.2	2015639
1	GABRD	2019345
1	GABRD	2019329
1	GABRD	2019360
1	GABRD	2019379
1	GABRD	2019387
1	GABRD	2019404
1	GABRD	2019484
1	GABRD	2022315
1	GABRD	2023561
1	GABRD	2024270
1	GABRD	2025346
1	GABRD	2025526
1	GABRD	2026528
1	GABRD	2026895
1	GABRD	2027253
1	GABRD	2027629
1	GABRD	2028919
1	AL391845.1	2049651
1	AL391845.1	2050070
1	PRKCZ	2050411
1	PRKCZ	2050485
1	PRKCZ	2050503
1	PRKCZ	2050808
1	PRKCZ	2055441
1	PRKCZ	2055679
1	PRKCZ	2073462
1	PRKCZ	2073719
1	PRKCZ	2073986
1	PRKCZ	2074688
1	PRKCZ	2074855
1	PRKCZ	2075244
1	PRKCZ	2082248
1	PRKCZ	2104716
1	PRKCZ	2104739
1	PRKCZ	2111654
1	PRKCZ	2116205
1	PRKCZ	2133638
1	PRKCZ	2134813
1	PRKCZ	2134990
1	PRKCZ	2135262
1	PRKCZ	2144451
1	PRKCZ	2145357
1	PRKCZ	2145387
1	PRKCZ	2168848
1	PRKCZ	2168975
1	AL590822.2	2145279
1	PRKCZ-AS1	2183875
1	PRKCZ-AS1	2184389
1	FAAP20	2207733
1	FAAP20	2194741
1	FAAP20	2194775
1	FAAP20	2194751
1	FAAP20	2194108
1	FAAP20	2194750
1	FAAP20	2194772
1	FAAP20	2199907
1	FAAP20	2212720
1	FAAP20	2194213
1	FAAP20	2194739
1	FAAP20	2194748
1	FAAP20	2203882
1	FAAP20	2212574
1	AL590822.1	2212523
1	SKI	2228319
1	SKI	2232479
1	SKI	2247996
1	SKI	2303646
1	AL590822.3	2315040
1	MORN1	2391554
1	MORN1	2391687
1	MORN1	2391707
1	MORN1	2375878
1	MORN1	2387529
1	MORN1	2385121
1	MORN1	2388337
1	MORN1	2391671
1	MORN1	2388509
1	MORN1	2388316
1	MORN1	2389996
1	AL589739.1	2326693
1	AL513477.1	2352820
1	AL513477.1	2351857
1	AL513477.2	2363628
1	RER1	2391828
1	RER1	2391841
1	RER1	2391843
1	RER1	2391857
1	RER1	2391890
1	RER1	2393174
1	RER1	2394005
1	RER1	2401951
1	RER1	2391775
1	PEX10	2412564
1	PEX10	2412456
1	PEX10	2412540
1	PEX10	2412535
1	PEX10	2413797
1	PEX10	2410004
1	PEX10	2410836
1	PEX10	2412514
1	PLCH2	2425980
1	PLCH2	2467459
1	PLCH2	2476315
1	PLCH2	2479090
1	PLCH2	2479888
1	PLCH2	2497782
1	PLCH2	2498647
1	PLCH2	2476289
1	AL139246.1	2493258
1	AL139246.4	2494479
1	PANK4	2526596
1	PANK4	2520901
1	PANK4	2514403
1	PANK4	2513013
1	PANK4	2514085
1	PANK4	2515937
1	PANK4	2519295
1	PANK4	2526575
1	PANK4	2526187
1	PANK4	2526597
1	HES5	2530263
1	AL139246.5	2530064
1	AL139246.5	2546400
1	TNFRSF14-AS1	2552106
1	TNFRSF14-AS1	2554245
1	TNFRSF14-AS1	2557011
1	TNFRSF14-AS1	2551598
1	TNFRSF14-AS1	2554150
1	TNFRSF14-AS1	2557031
1	TNFRSF14	2555639
1	TNFRSF14	2555791
1	TNFRSF14	2555802
1	TNFRSF14	2555980
1	TNFRSF14	2556222
1	TNFRSF14	2556371
1	TNFRSF14	2556386
1	TNFRSF14	2556405
1	TNFRSF14	2556406
1	TNFRSF14	2556557
1	TNFRSF14	2556571
1	TNFRSF14	2557813
1	TNFRSF14	2559580
1	TNFRSF14	2560554
1	TNFRSF14	2560682
1	TNFRSF14	2561801
1	AL139246.2	2566410
1	AL139246.3	2581560
1	PRXL2B	2586491
1	PRXL2B	2586540
1	PRXL2B	2586777
1	PRXL2B	2586780
1	PRXL2B	2586796
1	PRXL2B	2586798
1	PRXL2B	2586817
1	PRXL2B	2586833
1	PRXL2B	2586877
1	PRXL2B	2587042
1	PRXL2B	2587078
1	PRXL2B	2587085
1	PRXL2B	2588594
1	PRXL2B	2586750
1	MMEL1	2592678
1	MMEL1	2633016
1	MMEL1	2629494
1	MMEL1	2592868
1	MMEL1	2592879
1	MMEL1	2594073
1	MMEL1	2611401
1	MMEL1	2632979
1	MMEL1-AS1	2632568
1	TTC34	2801717
1	TTC34	2789665
1	AC242022.2	2768091
1	AC242022.1	2773603
1	AL592464.2	2812692
1	AL592464.3	2814056
1	AL592464.1	2814998
1	AL589702.1	2963415
1	AL589702.1	2968707
1	ACTRT2	3021467
1	PRDM16-DT	3062531
1	PRDM16-DT	3063786
1	PRDM16-DT	3061751
1	PRDM16-DT	3062032
1	PRDM16-DT	3068437
1	PRDM16-DT	3063682
1	PRDM16-DT	3067769
1	PRDM16-DT	3061866
1	PRDM16-DT	3062742
1	PRDM16-DT	3062395
1	PRDM16	3069168
1	PRDM16	3069183
1	PRDM16	3069197
1	PRDM16	3069211
1	PRDM16	3069203
1	PRDM16	3237931
1	PRDM16	3244132
1	PRDM16	3396491
1	PRDM16	3424919
1	PRDM16	3425216
1	MIR4251	3127975
1	AL008733.1	3133709
1	AL512383.1	3205988
1	AL590438.1	3310096
1	AL354743.2	3323149
1	AL354743.1	3373928
1	ARHGEF16	3454665
1	ARHGEF16	3466005
1	ARHGEF16	3466971
1	ARHGEF16	3468544
1	ARHGEF16	3471607
1	ARHGEF16	3471624
1	ARHGEF16	3472769
1	AL512413.1	3487246
1	MEGF6	3531448
1	MEGF6	3611508
1	MEGF6	3493486
1	MEGF6	3611277
1	MEGF6	3496717
1	MEGF6	3496014
1	MEGF6	3494244
1	MIR551A	3560790
1	AL513320.1	3624743
1	TPRG1L	3625015
1	TPRG1L	3625050
1	WRAP73	3650058
1	WRAP73	3650103
1	WRAP73	3639625
1	WRAP73	3650026
1	WRAP73	3637057
1	WRAP73	3635450
1	WRAP73	3635433
1	WRAP73	3652761
1	WRAP73	3650063
1	WRAP73	3650061
1	TP73	3652516
1	TP73	3652520
1	TP73	3652565
1	TP73	3682366
1	TP73	3690672
1	TP73	3690707
1	TP73	3698046
1	TP73	3698058
1	TP73	3727478
1	TP73-AS3	3668772
1	TP73-AS2	3714298
1	TP73-AS1	3745905
1	TP73-AS1	3736588
1	TP73-AS1	3746771
1	TP73-AS1	3746942
1	TP73-AS1	3746714
1	TP73-AS1	3747322
1	TP73-AS1	3746715
1	TP73-AS1	3737875
1	TP73-AS1	3747336
1	TP73-AS1	3737296
1	TP73-AS1	3746884
1	TP73-AS1	3747373
1	TP73-AS1	3746898
1	TP73-AS1	3746791
1	TP73-AS1	3746147
1	TP73-AS1	3746725
1	TP73-AS1	3746877
1	TP73-AS1	3746971
1	TP73-AS1	3746383
1	TP73-AS1	3747023
1	TP73-AS1	3742858
1	TP73-AS1	3746742
1	TP73-AS1	3743370
1	TP73-AS1	3746956
1	TP73-AS1	3746907
1	TP73-AS1	3743187
1	TP73-AS1	3746887
1	TP73-AS1	3743261
1	AL136528.1	3736943
1	CCDC27	3746460
1	CCDC27	3752450
1	CCDC27	3752445
1	SMIM1	3772749
1	SMIM1	3772771
1	SMIM1	3772787
1	SMIM1	3772825
1	LRRC47	3796498
1	LRRC47	3784175
1	LRRC47	3784047
1	RN7SL574P	3782815
1	AL365330.1	3785008
1	CEP104	3846005
1	CEP104	3857211
1	CEP104	3857396
1	CEP104	3847704
1	CEP104	3857194
1	CEP104	3857225
1	CEP104	3816458
1	CEP104	3857233
1	CEP104	3837152
1	CEP104	3831224
1	CEP104	3837136
1	CEP104	3857198
1	CEP104	3857214
1	DFFB	3857267
1	DFFB	3857281
1	DFFB	3857460
1	DFFB	3857473
1	DFFB	3857476
1	DFFB	3857517
1	DFFB	3857600
1	DFFB	3867663
1	DFFB	3883507
1	C1orf174	3900247
1	C1orf174	3900293
1	C1orf174	3900272
1	C1orf174	3900221
1	C1orf174	3900251
1	C1orf174	3900258
1	C1orf174	3900260
1	C1orf174	3900278
1	C1orf174	3900253
1	LINC01134	3900352
1	LINC01134	3900372
1	LINC01134	3900404
1	LINC01134	3900416
1	LINC01346	3940565
1	LINC01346	3940486
1	LINC01346	3940617
1	LINC01346	3947756
1	LINC01345	3948900
1	LINC01345	3949024
1	LINC02780	3976133
1	LINC02780	3976140
1	AL805961.1	4019508
1	EEF1DP6	4175899
1	LINC01777	4412027
1	LINC01777	4412051
1	LINC01777	4412042
1	LINC01777	4416311
1	LINC01777	4412081
1	LINC01777	4412139
1	LINC01777	4415553
1	LINC01777	4412079
1	LINC01777	4412096
1	LINC01777	4412095
1	LINC01777	4412089
1	AL355602.1	4484375
1	Z98747.1	4552145
1	LINC01646	4571481
1	LINC01646	4571504
1	LINC01646	4571548
1	LINC01646	4571513
1	LINC01646	4571489
1	LINC01646	4571516
1	LINC01646	4571499
1	AJAP1	4654732
1	AJAP1	4654609
1	AJAP1	4711155
1	Z98886.1	4733745
1	Z98886.1	4734992
1	BX005132.1	4973298
1	LINC02781	4973381
1	LINC02782	5090899
1	AL139823.1	5307394
1	Z98259.3	5492889
1	Z98259.3	5493057
1	Z98259.3	5492804
1	Z98259.2	5482028
1	Z98259.1	5492978
1	Z97988.2	5554747
1	AL365255.1	5668255
1	AL365255.1	5668295
1	Z97988.1	5564071
1	MIR4689	5862741
1	NPHP4	5867652
1	NPHP4	5868375
1	NPHP4	5992424
1	NPHP4	5992473
1	NPHP4	5992425
1	NPHP4	5992447
1	NPHP4	5873841
1	NPHP4	5877466
1	NPHP4	5882849
1	NPHP4	5905324
1	KCNAB2	5990927
1	KCNAB2	5991320
1	KCNAB2	5992262
1	KCNAB2	5992639
1	KCNAB2	5992666
1	KCNAB2	5992671
1	KCNAB2	5992675
1	KCNAB2	5992685
1	KCNAB2	5992693
1	KCNAB2	5992703
1	KCNAB2	5992706
1	KCNAB2	5992711
1	KCNAB2	5992714
1	KCNAB2	5992723
1	KCNAB2	5992731
1	KCNAB2	5992753
1	KCNAB2	5992760
1	KCNAB2	6026013
1	KCNAB2	6026163
1	KCNAB2	6026272
1	KCNAB2	6026275
1	KCNAB2	6026276
1	KCNAB2	6026294
1	KCNAB2	6026320
1	KCNAB2	6026327
1	KCNAB2	6026334
1	KCNAB2	6026345
1	KCNAB2	6026347
1	KCNAB2	6026361
1	KCNAB2	6027297
1	KCNAB2	6034283
1	KCNAB2	6034677
1	KCNAB2	6034980
1	KCNAB2	6035090
1	KCNAB2	6035917
1	KCNAB2	6045921
1	KCNAB2	6046114
1	KCNAB2	6065753
1	KCNAB2	6073415
1	KCNAB2	6087501
1	KCNAB2	6090296
1	KCNAB2	6094316
1	KCNAB2	6094400
1	KCNAB2	6094483
1	CHD5	6180321
1	CHD5	6106772
1	CHD5	6144104
1	CHD5	6131739
1	CHD5	6180023
1	CHD5	6128542
1	AL031847.1	6197757
1	RPL22	6199595
1	RPL22	6199563
1	RPL22	6200842
1	RPL22	6209244
1	RPL22	6199553
1	RPL22	6203494
1	RPL22	6209389
1	RNF207-AS1	6205780
1	RNF207	6205475
1	RNF207	6206129
1	RNF207	6206119
1	RNF207	6208618
1	RNF207	6208860
1	RNF207	6210902
1	RNF207	6210938
1	RNF207	6211035
1	RNF207	6212738
1	ICMT	6235964
1	ICMT	6223502
1	ICMT	6235972
1	LINC00337	6234692
1	LINC00337	6236240
1	LINC00337	6237771
1	HES3	6244179
1	GPR153	6261098
1	ACOT7	6393361
1	ACOT7	6359344
1	ACOT7	6360707
1	ACOT7	6385813
1	ACOT7	6393767
1	ACOT7	6352249
1	ACOT7	6295504
1	ACOT7	6393766
1	AL031848.2	6393555
1	HES2	6424670
1	HES2	6419903
1	HES2	6416631
1	HES2	6419919
1	HES2	6419907
1	HES2	6419917
1	ESPN	6424776
1	ESPN	6424788
1	ESPN	6437300
1	ESPN	6437568
1	ESPN	6440378
1	ESPN	6447331
1	ESPN	6447351
1	ESPN	6448043
1	ESPN	6448467
1	ESPN	6448520
1	ESPN	6449055
1	ESPN	6450374
1	ESPN	6451317
1	ESPN	6451658
1	ESPN	6451717
1	ESPN	6460508
1	MIR4252	6429896
1	AL031848.1	6447006
1	TNFRSF25	6465470
1	TNFRSF25	6463622
1	TNFRSF25	6466099
1	TNFRSF25	6466175
1	TNFRSF25	6466173
1	TNFRSF25	6466107
1	TNFRSF25	6463347
1	TNFRSF25	6462607
1	TNFRSF25	6465272
1	TNFRSF25	6465630
1	TNFRSF25	6465858
1	PLEKHG5	6471583
1	PLEKHG5	6477588
1	PLEKHG5	6485469
1	PLEKHG5	6485954
1	PLEKHG5	6490570
1	PLEKHG5	6490594
1	PLEKHG5	6491667
1	PLEKHG5	6496569
1	PLEKHG5	6496696
1	PLEKHG5	6497424
1	PLEKHG5	6506158
1	PLEKHG5	6520009
1	PLEKHG5	6485895
1	PLEKHG5	6477658
1	PLEKHG5	6497096
1	PLEKHG5	6469163
1	PLEKHG5	6469454
1	PLEKHG5	6470732
1	PLEKHG5	6470938
1	PLEKHG5	6472240
1	PLEKHG5	6475497
1	PLEKHG5	6491696
1	PLEKHG5	6485952
1	PLEKHG5	6490580
1	PLEKHG5	6520074
1	NOL9	6554513
1	NOL9	6545017
1	NOL9	6533385
1	NOL9	6550488
1	NOL9	6554500
1	RNU6-731P	6540854
1	AL591866.1	6547905
1	TAS1R1	6555307
1	TAS1R1	6555309
1	TAS1R1	6570941
1	ZBTB48	6579994
1	ZBTB48	6580001
1	ZBTB48	6580017
1	ZBTB48	6580088
1	ZBTB48	6585302
1	ZBTB48	6586207
1	ZBTB48	6587256
1	ZBTB48	6588687
1	KLHL21	6602869
1	KLHL21	6603001
1	KLHL21	6614560
1	KLHL21	6599816
1	KLHL21	6614607
1	KLHL21	6603684
1	PHF13	6613731
1	PHF13	6613762
1	THAP3	6624866
1	THAP3	6625171
1	THAP3	6625181
1	THAP3	6625192
1	THAP3	6625198
1	THAP3	6625225
1	THAP3	6625230
1	THAP3	6628395
1	DNAJC11	6645057
1	DNAJC11	6681037
1	DNAJC11	6701816
1	DNAJC11	6701924
1	DNAJC11	6645112
